[2015-11-27 09:59:33,800 INFO  Hangfire.SqlServer.SqlServerStorage] - Start installing Hangfire SQL objects...
[2015-11-27 09:59:34,300 INFO  Hangfire.SqlServer.SqlServerStorage] - Hangfire SQL objects installed.
[2015-11-27 09:59:34,331 INFO  Hangfire.BackgroundJobServer] - Starting Hangfire Server
[2015-11-27 09:59:34,331 INFO  Hangfire.BackgroundJobServer] - Using job storage: 'SQL Server: 112.78.2.76@ann77429_DB'.
[2015-11-27 09:59:34,331 INFO  Hangfire.BackgroundJobServer] - Using the following options for SQL Server job storage:
[2015-11-27 09:59:34,331 INFO  Hangfire.BackgroundJobServer] -     Queue poll interval: 00:00:15.
[2015-11-27 09:59:34,331 INFO  Hangfire.BackgroundJobServer] - Using the following options for Hangfire Server:
[2015-11-27 09:59:34,331 INFO  Hangfire.BackgroundJobServer] -     Worker count: 20.
[2015-11-27 09:59:34,331 INFO  Hangfire.BackgroundJobServer] -     Listening queues: 'default'.
[2015-11-27 09:59:34,331 INFO  Hangfire.BackgroundJobServer] -     Shutdown timeout: 00:00:15.
[2015-11-27 09:59:34,331 INFO  Hangfire.BackgroundJobServer] -     Schedule polling interval: 00:00:15.
[2015-11-27 09:59:34,557 INFO  Hangfire.SqlServer.SqlServerStorage] - Start installing Hangfire SQL objects...
[2015-11-27 09:59:34,647 INFO  Hangfire.SqlServer.SqlServerStorage] - Hangfire SQL objects installed.
[2015-11-27 09:59:34,663 INFO  Hangfire.BackgroundJobServer] - Starting Hangfire Server
[2015-11-27 09:59:34,663 INFO  Hangfire.BackgroundJobServer] - Using job storage: 'SQL Server: 112.78.2.76@ann77429_DB'.
[2015-11-27 09:59:34,663 INFO  Hangfire.BackgroundJobServer] - Using the following options for SQL Server job storage:
[2015-11-27 09:59:34,663 INFO  Hangfire.BackgroundJobServer] -     Queue poll interval: 00:00:15.
[2015-11-27 09:59:34,663 INFO  Hangfire.BackgroundJobServer] - Using the following options for Hangfire Server:
[2015-11-27 09:59:34,663 INFO  Hangfire.BackgroundJobServer] -     Worker count: 20.
[2015-11-27 09:59:34,663 INFO  Hangfire.BackgroundJobServer] -     Listening queues: 'default'.
[2015-11-27 09:59:34,663 INFO  Hangfire.BackgroundJobServer] -     Shutdown timeout: 00:00:15.
[2015-11-27 09:59:34,663 INFO  Hangfire.BackgroundJobServer] -     Schedule polling interval: 00:00:15.
[2015-11-27 10:02:24,956 INFO  Hangfire.BackgroundJobServer] - Hangfire Server stopped.
[2015-11-27 10:02:24,994 INFO  Hangfire.BackgroundJobServer] - Hangfire Server stopped.
[2015-11-27 10:02:25,273 INFO  Hangfire.BackgroundJobServer] - Hangfire Server stopped.
[2015-11-27 10:02:29,656 INFO  Hangfire.SqlServer.SqlServerStorage] - Start installing Hangfire SQL objects...
[2015-11-27 10:02:29,803 INFO  Hangfire.SqlServer.SqlServerStorage] - Hangfire SQL objects installed.
[2015-11-27 10:02:29,824 INFO  Hangfire.BackgroundJobServer] - Starting Hangfire Server
[2015-11-27 10:02:29,840 INFO  Hangfire.BackgroundJobServer] - Using job storage: 'SQL Server: 112.78.2.76@ann77429_DB'.
[2015-11-27 10:02:29,840 INFO  Hangfire.BackgroundJobServer] - Using the following options for SQL Server job storage:
[2015-11-27 10:02:29,840 INFO  Hangfire.BackgroundJobServer] -     Queue poll interval: 00:00:15.
[2015-11-27 10:02:29,840 INFO  Hangfire.BackgroundJobServer] - Using the following options for Hangfire Server:
[2015-11-27 10:02:29,840 INFO  Hangfire.BackgroundJobServer] -     Worker count: 20.
[2015-11-27 10:02:29,840 INFO  Hangfire.BackgroundJobServer] -     Listening queues: 'default'.
